order_id,customer_id,order_date
1001,57,2024-04-12
1002,118,2024-06-28
1003,79,2024-04-26
1004,58,2024-01-13
1005,169,2024-04-08
1006,103,2024-06-17
1007,72,2024-02-05
1008,198,2024-05-22
1009,90,2024-11-24
1010,131,2024-07-23
1011,174,2024-10-01
1012,85,2024-01-15
1013,30,2024-05-13
1014,46,2024-10-24
1015,68,2024-01-20
1016,28,2024-11-01
1017,112,2024-06-25
1018,187,2024-06-09
1019,112,2024-11-06
1020,131,2024-02-29
1021,99,2024-10-22
1022,49,2024-05-10
1023,12,2024-12-28
1024,112,2024-01-01
1025,134,2024-10-02
1026,176,2024-12-09
1027,51,2024-07-05
1028,111,2024-02-05
1029,171,2024-06-18
1030,160,2024-06-09
1031,170,2024-03-04
1032,185,2024-06-02
1033,130,2024-06-07
1034,171,2024-07-28
1035,84,2024-07-25
1036,179,2024-05-31
1037,142,2024-03-06
1038,50,2024-08-03
1039,171,2024-07-13
1040,174,2024-03-30
1041,158,2024-10-18
1042,78,2024-07-26
1043,141,2024-01-01
1044,78,2024-05-26
1045,54,2024-08-08
1046,149,2024-11-06
1047,168,2024-06-13
1048,120,2024-08-14
1049,114,2024-12-11
1050,55,2024-09-18
1051,122,2024-03-27
1052,169,2024-02-13
1053,73,2024-09-20
1054,170,2024-11-20
1055,159,2024-06-20
1056,24,2024-04-30
1057,173,2024-06-07
1058,58,2024-04-11
1059,38,2024-01-13
1060,12,2024-05-05
1061,122,2024-11-08
1062,197,2024-02-07
1063,117,2024-07-31
1064,162,2024-10-21
1065,50,2024-12-22
1066,99,2024-09-10
1067,103,2024-05-04
1068,38,2024-12-01
1069,177,2024-01-03
1070,193,2024-02-24
1071,200,2024-08-05
1072,57,2024-03-31
1073,179,2024-09-22
1074,119,2024-01-26
1075,143,2024-05-07
1076,32,2024-08-21
1077,35,2024-08-25
1078,171,2024-09-28
1079,144,2024-10-31
1080,82,2024-08-14
1081,157,2024-09-15
1082,110,2024-10-07
1083,115,2024-03-22
1084,191,2024-08-31
1085,116,2024-05-12
1086,193,2024-05-06
1087,164,2024-05-21
1088,197,2024-09-23
1089,125,2024-11-16
1090,62,2024-05-20
1091,113,2024-02-09
1092,183,2024-05-26
1093,61,2024-05-19
1094,86,2024-06-12
1095,139,2024-02-11
1096,36,2024-03-18
1097,60,2024-07-15
1098,178,2024-03-19
1099,181,2024-04-19
1100,17,2024-07-31
1101,105,2024-06-18
1102,139,2024-08-26
1103,107,2024-02-01
1104,53,2024-08-03
1105,100,2024-10-26
1106,179,2024-01-11
1107,196,2024-10-21
1108,98,2024-09-01
1109,2,2024-06-29
1110,77,2024-07-18
1111,108,2024-10-02
1112,192,2024-10-06
1113,155,2024-04-22
1114,125,2024-04-22
1115,70,2024-08-11
1116,125,2024-01-15
1117,100,2024-06-21
1118,172,2024-12-13
1119,104,2024-03-25
1120,120,2024-03-06
1121,160,2024-09-30
1122,7,2024-07-20
1123,152,2024-10-15
1124,170,2024-01-14
1125,22,2024-11-25
1126,110,2024-03-10
1127,119,2024-04-03
1128,13,2024-05-13
1129,98,2024-06-16
1130,55,2024-08-20
1131,84,2024-06-21
1132,195,2024-07-13
1133,72,2024-08-03
1134,65,2024-02-11
1135,121,2024-01-10
1136,192,2024-10-03
1137,14,2024-06-28
1138,58,2024-11-28
1139,18,2024-11-29
1140,11,2024-01-16
1141,64,2024-04-12
1142,6,2024-11-14
1143,40,2024-05-02
1144,33,2024-08-30
1145,172,2024-02-28
1146,145,2024-04-21
1147,120,2024-12-24
1148,66,2024-07-07
1149,43,2024-11-06
1150,156,2024-02-28
1151,200,2024-03-24
1152,80,2024-02-25
1153,149,2024-01-14
1154,80,2024-10-21
1155,174,2024-07-11
1156,102,2024-04-11
1157,20,2024-10-30
1158,177,2024-11-17
1159,63,2024-02-22
1160,179,2024-06-03
1161,176,2024-11-03
1162,31,2024-10-16
1163,11,2024-06-26
1164,137,2024-08-07
1165,170,2024-07-08
1166,18,2024-09-16
1167,166,2024-06-23
1168,4,2024-08-03
1169,126,2024-02-24
1170,111,2024-07-04
1171,163,2024-08-23
1172,182,2024-03-19
1173,112,2024-03-31
1174,188,2024-09-24
1175,167,2024-05-18
1176,158,2024-10-02
1177,199,2024-09-04
1178,120,2024-08-11
1179,188,2024-10-30
1180,69,2024-06-14
1181,63,2024-02-14
1182,72,2024-08-18
1183,63,2024-08-25
1184,146,2024-11-08
1185,172,2024-07-13
1186,87,2024-01-15
1187,127,2024-06-15
1188,47,2024-09-06
1189,55,2024-06-30
1190,67,2024-06-23
1191,72,2024-11-01
1192,180,2024-05-21
1193,143,2024-01-06
1194,133,2024-04-07
1195,22,2024-05-03
1196,185,2024-07-27
1197,126,2024-10-11
1198,195,2024-05-03
1199,177,2024-08-31
1200,166,2024-12-30
1201,126,2024-08-17
1202,5,2024-02-17
1203,76,2024-04-23
1204,104,2024-12-20
1205,63,2024-06-05
1206,170,2024-10-24
1207,95,2024-08-30
1208,142,2024-09-28
1209,89,2024-08-05
1210,191,2024-10-08
1211,85,2024-06-29
1212,180,2024-08-20
1213,70,2024-06-05
1214,65,2024-04-28
1215,31,2024-04-08
1216,81,2024-03-02
1217,191,2024-10-01
1218,196,2024-12-19
1219,48,2024-04-08
1220,56,2024-09-04
1221,71,2024-10-28
1222,195,2024-09-25
1223,153,2024-05-24
1224,26,2024-04-09
1225,76,2024-04-26
1226,93,2024-04-01
1227,78,2024-01-08
1228,182,2024-09-30
1229,33,2024-05-20
1230,12,2024-01-28
1231,142,2024-05-29
1232,179,2024-03-05
1233,164,2024-09-08
1234,27,2024-01-07
1235,147,2024-05-25
1236,121,2024-09-02
